Date,Time,Open_2m,High_2m,Low_2m,Close_2m,Volume_2m,Open_1h,High_1h,Low_1h,Close_1h,Volume_1h,Date_1d,Open_1d,High_1d,Low_1d,Close_1d,Volume_1d,Hour,SixMinChange,EightMinChange,TenMinChange,SixMinLabel,EightMinLabel,TenMinLabel,TenMinMovingAvg,TwentyMinMovingAvg,ThirtyMinMovingAvg,HourChange,TenMinMALabel,TwentyMinMALabel,ThirtyMinMALabel,TenCrossTwenty,TenCrossThirty,HourChangeLabel
2023-11-20,13:00:00,15895.0,15898.25,15890.5,15893.75,851,15895.0,15919.75,15887.25,15912.75,13249.0,2023-11-20,15895.0,16116.75,15837.25,16086.5,559493.0,13,6.0,6.5,0.25,Bullish,Bullish,Neutral,15894.45,15895.475,15899.033333333333,27.75,Below,Below,Below,Below,Below,Above
2023-11-20,13:02:00,15893.25,15895.75,15891.0,15895.0,343,,,,,,2023-11-20,15895.0,16116.75,15837.25,16086.5,559493.0,13,5.25,-1.0,1.75,Bullish,Neutral,Neutral,15894.2,15895.075,15897.85,24.75,Above,Below,Below,Below,Below,Above
2023-11-20,13:04:00,15894.75,15897.5,15891.25,15897.25,329,,,,,,2023-11-20,15895.0,16116.75,15837.25,16086.5,559493.0,13,-3.25,-0.5,2.5,Bearish,Neutral,Neutral,15894.55,15895.35,15897.033333333333,19.75,Above,Above,Above,Below,Below,Above
2023-11-20,13:06:00,15897.5,15900.0,15896.25,15899.75,276,,,,,,2023-11-20,15895.0,16116.75,15837.25,16086.5,559493.0,13,-3.0,0.0,1.25,Bearish,Neutral,Neutral,15896.15,15895.85,15896.8,19.5,Above,Above,Above,Above,Below,Above
2023-11-20,13:08:00,15899.25,15901.5,15897.0,15900.25,294,,,,,,2023-11-20,15895.0,16116.75,15837.25,16086.5,559493.0,13,-0.5,0.75,1.5,Neutral,Neutral,Neutral,15897.2,15896.1,15896.683333333332,20.5,Above,Above,Above,Above,Above,Above
2023-11-20,13:10:00,15900.75,15901.25,15894.0,15894.0,415,,,,,,2023-11-20,15895.0,16116.75,15837.25,16086.5,559493.0,13,7.0,7.75,7.5,Bullish,Bullish,Bullish,15897.25,15895.85,15896.066666666668,28.75,Below,Below,Below,Above,Above,Above
2023-11-20,13:12:00,15894.25,15897.75,15894.25,15896.75,244,,,,,,2023-11-20,15895.0,16116.75,15837.25,16086.5,559493.0,13,5.0,4.75,4.0,Bullish,Bullish,Bullish,15897.6,15895.9,15895.916666666666,22.25,Below,Above,Above,Above,Above,Above
2023-11-20,13:14:00,15896.75,15901.25,15896.75,15899.75,325,,,,,,2023-11-20,15895.0,16116.75,15837.25,16086.5,559493.0,13,1.75,1.0,-3.75,Neutral,Neutral,Bearish,15898.1,15896.325,15896.266666666666,18.75,Above,Above,Above,Above,Above,Above
2023-11-20,13:16:00,15899.5,15905.0,15899.5,15901.0,573,,,,,,2023-11-20,15895.0,16116.75,15837.25,16086.5,559493.0,13,-0.25,-5.0,-10.5,Neutral,Bearish,Bearish,15898.35,15897.25,15896.683333333332,16.75,Above,Above,Above,Above,Above,Above
2023-11-20,13:18:00,15902.0,15904.0,15901.5,15901.75,203,,,,,,2023-11-20,15895.0,16116.75,15837.25,16086.5,559493.0,13,-5.75,-11.25,-8.75,Bearish,Bearish,Bearish,15898.65,15897.925,15896.95,16.75,Above,Above,Above,Above,Above,Above
